"","finish","rider","number","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"1",1,"DYLAN WRIGHTDrummondville, QC","1",1,63.409,3.409,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"2",1,"DYLAN WRIGHTDrummondville, QC","1",2,131.015,3.12,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"3",1,"DYLAN WRIGHTDrummondville, QC","1",3,128.78,2.353,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"4",1,"DYLAN WRIGHTDrummondville, QC","1",4,129.007,1.811,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"5",1,"DYLAN WRIGHTDrummondville, QC","1",5,129.75,1.491,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"6",1,"DYLAN WRIGHTDrummondville, QC","1",6,128.652,0.539,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"7",1,"DYLAN WRIGHTDrummondville, QC","1",7,128.668,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"8",1,"DYLAN WRIGHTDrummondville, QC","1",8,129.891,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"9",1,"DYLAN WRIGHTDrummondville, QC","1",9,130.335,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"10",1,"DYLAN WRIGHTDrummondville, QC","1",10,130.639,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"11",1,"DYLAN WRIGHTDrummondville, QC","1",11,131.956,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"12",1,"DYLAN WRIGHTDrummondville, QC","1",12,130.471,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"13",1,"DYLAN WRIGHTDrummondville, QC","1",13,132.619,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"14",1,"DYLAN WRIGHTDrummondville, QC","1",14,133.276,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"15",1,"DYLAN WRIGHTDrummondville, QC","1",15,134.442,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"16",1,"DYLAN WRIGHTDrummondville, QC","1",16,132.218,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"17",1,"DYLAN WRIGHTDrummondville, QC","1",17,134.13,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
