"","rider","location","number","finish","lap","time","behind","place","year","round","moto","track","date","race_id","class","type","points"
"1","DYLAN WRIGHT","Quebec","1",1,1,63.409,3.409,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"2","DYLAN WRIGHT","Quebec","1",1,2,131.015,3.12,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"3","DYLAN WRIGHT","Quebec","1",1,3,128.78,2.353,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"4","DYLAN WRIGHT","Quebec","1",1,4,129.007,1.811,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"5","DYLAN WRIGHT","Quebec","1",1,5,129.75,1.491,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"6","DYLAN WRIGHT","Quebec","1",1,6,128.652,0.539,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"7","DYLAN WRIGHT","Quebec","1",1,7,128.668,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"8","DYLAN WRIGHT","Quebec","1",1,8,129.891,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"9","DYLAN WRIGHT","Quebec","1",1,9,130.335,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"10","DYLAN WRIGHT","Quebec","1",1,10,130.639,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"11","DYLAN WRIGHT","Quebec","1",1,11,131.956,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"12","DYLAN WRIGHT","Quebec","1",1,12,130.471,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"13","DYLAN WRIGHT","Quebec","1",1,13,132.619,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"14","DYLAN WRIGHT","Quebec","1",1,14,133.276,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"15","DYLAN WRIGHT","Quebec","1",1,15,134.442,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"16","DYLAN WRIGHT","Quebec","1",1,16,132.218,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"17","DYLAN WRIGHT","Quebec","1",1,17,134.13,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",25
"18","JESS PETTIS","Quebec","15",2,1,60,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"19","JESS PETTIS","Quebec","15",2,2,131.304,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"20","JESS PETTIS","Quebec","15",2,3,129.547,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"21","JESS PETTIS","Quebec","15",2,4,129.549,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"22","JESS PETTIS","Quebec","15",2,5,130.07,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"23","JESS PETTIS","Quebec","15",2,6,129.604,0,1,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"24","JESS PETTIS","Quebec","15",2,7,130.867,1.66,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"25","JESS PETTIS","Quebec","15",2,8,129.681,1.45,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"26","JESS PETTIS","Quebec","15",2,9,139.937,11.052,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"27","JESS PETTIS","Quebec","15",2,10,130.77,11.183,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"28","JESS PETTIS","Quebec","15",2,11,130.988,10.215,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"29","JESS PETTIS","Quebec","15",2,12,136.678,16.422,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"30","JESS PETTIS","Quebec","15",2,13,130.746,14.549,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"31","JESS PETTIS","Quebec","15",2,14,130.407,11.68,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"32","JESS PETTIS","Quebec","15",2,15,131.58,8.818,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"33","JESS PETTIS","Quebec","15",2,16,131.355,7.955,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"34","JESS PETTIS","Quebec","15",2,17,132.129,5.954,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",22
"35","JOSIAH NATZKE","New Zealand","23",3,1,64.877,4.877,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"36","JOSIAH NATZKE","New Zealand","23",3,2,133.269,6.842,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"37","JOSIAH NATZKE","New Zealand","23",3,3,131.296,8.591,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"38","JOSIAH NATZKE","New Zealand","23",3,4,130.6,9.642,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"39","JOSIAH NATZKE","New Zealand","23",3,5,131.3,10.872,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"40","JOSIAH NATZKE","New Zealand","23",3,6,129.819,11.087,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"41","JOSIAH NATZKE","New Zealand","23",3,7,131.172,13.052,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"42","JOSIAH NATZKE","New Zealand","23",3,8,131.498,14.659,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"43","JOSIAH NATZKE","New Zealand","23",3,9,132.029,16.353,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"44","JOSIAH NATZKE","New Zealand","23",3,10,132.527,18.241,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"45","JOSIAH NATZKE","New Zealand","23",3,11,130.677,16.962,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"46","JOSIAH NATZKE","New Zealand","23",3,12,132.245,18.736,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"47","JOSIAH NATZKE","New Zealand","23",3,13,130.608,16.725,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"48","JOSIAH NATZKE","New Zealand","23",3,14,131.144,14.593,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"49","JOSIAH NATZKE","New Zealand","23",3,15,130.963,11.114,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"50","JOSIAH NATZKE","New Zealand","23",3,16,132.113,11.009,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"51","JOSIAH NATZKE","New Zealand","23",3,17,130.439,7.318,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",20
"52","MITCHELL HARRISON","Florida","8",4,1,61.882,1.882,2,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"53","MITCHELL HARRISON","Florida","8",4,2,143.166,13.744,8,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"54","MITCHELL HARRISON","Florida","8",4,3,133.378,17.575,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"55","MITCHELL HARRISON","Florida","8",4,4,132.672,20.698,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"56","MITCHELL HARRISON","Florida","8",4,5,132.587,23.215,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"57","MITCHELL HARRISON","Florida","8",4,6,131.496,25.107,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"58","MITCHELL HARRISON","Florida","8",4,7,130.915,26.815,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"59","MITCHELL HARRISON","Florida","8",4,8,132.527,29.451,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"60","MITCHELL HARRISON","Florida","8",4,9,132.315,31.431,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"61","MITCHELL HARRISON","Florida","8",4,10,133.314,34.106,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"62","MITCHELL HARRISON","Florida","8",4,11,134.044,36.194,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"63","MITCHELL HARRISON","Florida","8",4,12,134.041,39.764,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"64","MITCHELL HARRISON","Florida","8",4,13,131.982,39.127,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"65","MITCHELL HARRISON","Florida","8",4,14,131.363,37.214,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"66","MITCHELL HARRISON","Florida","8",4,15,132.147,34.919,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"67","MITCHELL HARRISON","Florida","8",4,16,132.602,35.303,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"68","MITCHELL HARRISON","Florida","8",4,17,134.863,36.036,4,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",18
"69","PRESTON KILROY","Wyoming","808",5,1,67.578,7.578,7,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"70","PRESTON KILROY","Wyoming","808",5,2,134.413,10.687,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"71","PRESTON KILROY","Wyoming","808",5,3,133.075,14.215,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"72","PRESTON KILROY","Wyoming","808",5,4,132.056,16.722,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"73","PRESTON KILROY","Wyoming","808",5,5,133.728,20.38,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"74","PRESTON KILROY","Wyoming","808",5,6,131.772,22.548,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"75","PRESTON KILROY","Wyoming","808",5,7,132.123,25.464,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"76","PRESTON KILROY","Wyoming","808",5,8,134.341,29.914,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"77","PRESTON KILROY","Wyoming","808",5,9,133.072,32.651,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"78","PRESTON KILROY","Wyoming","808",5,10,133.072,35.084,6,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"79","PRESTON KILROY","Wyoming","808",5,11,134.247,37.375,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"80","PRESTON KILROY","Wyoming","808",5,12,133.533,40.437,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"81","PRESTON KILROY","Wyoming","808",5,13,132.166,39.984,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"82","PRESTON KILROY","Wyoming","808",5,14,132.059,38.767,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"83","PRESTON KILROY","Wyoming","808",5,15,132.821,37.146,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"84","PRESTON KILROY","Wyoming","808",5,16,132.717,37.645,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"85","PRESTON KILROY","Wyoming","808",5,17,134.546,38.061,5,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",16
"86","AARON TANTI","Quebec","109",6,1,62.774,2.774,3,2024,1,1,"Wild Rose MX",2024-06-02,"450_2024_1","450","mx",15
