,rider,class,round,moto,moto_id,start,finish,points,total_points,points_rank
1,DYLAN WRIGHT,450,1,1,1,4,1,25,25,1
2,DYLAN WRIGHT,450,1,2,2,4,2,22,47,1
3,DYLAN WRIGHT,450,2,1,3,2,1,25,72,1
4,DYLAN WRIGHT,450,2,2,4,2,28,0,72,3
5,DYLAN WRIGHT,450,3,1,5,6,9,12,84,5
6,DYLAN WRIGHT,450,3,2,6,7,7,14,98,5
7,DYLAN WRIGHT,450,4,1,7,9,3,20,118,5
8,DYLAN WRIGHT,450,4,2,8,7,6,15,133,5
9,DYLAN WRIGHT,450,5,1,9,,,0,133,5
10,DYLAN WRIGHT,450,5,2,10,,,0,133,6
11,DYLAN WRIGHT,450,6,1,11,,,0,133,6
12,DYLAN WRIGHT,450,6,2,12,,,0,133,8
13,DYLAN WRIGHT,450,7,1,13,,,0,133,9
14,DYLAN WRIGHT,450,7,2,14,,,0,133,9
15,DYLAN WRIGHT,450,8,1,15,3,2,22,155,9
16,DYLAN WRIGHT,450,8,2,16,3,1,25,180,7
17,JESS PETTIS,450,1,1,1,1,2,22,22,2
18,JESS PETTIS,450,1,2,2,1,1,25,47,2
19,JESS PETTIS,450,2,1,3,1,2,22,69,2
20,JESS PETTIS,450,2,2,4,1,1,25,94,1
21,JESS PETTIS,450,3,1,5,1,2,22,116,1
22,JESS PETTIS,450,3,2,6,8,3,20,136,1
23,JESS PETTIS,450,4,1,7,1,10,11,147,2
24,JESS PETTIS,450,4,2,8,2,1,25,172,1
25,JESS PETTIS,450,5,1,9,3,2,22,194,1
26,JESS PETTIS,450,5,2,10,2,1,25,219,1
27,JESS PETTIS,450,6,1,11,2,2,22,241,1
28,JESS PETTIS,450,6,2,12,1,1,25,266,1
29,JESS PETTIS,450,7,1,13,3,1,25,291,1
30,JESS PETTIS,450,7,2,14,2,2,22,313,1
31,JESS PETTIS,450,8,1,15,2,3,20,333,1
32,JESS PETTIS,450,8,2,16,1,2,22,355,1
33,JOSIAH NATZKE,450,1,1,1,5,3,20,20,3
34,JOSIAH NATZKE,450,1,2,2,28,6,15,35,4
35,JOSIAH NATZKE,450,2,1,3,4,4,18,53,4
36,JOSIAH NATZKE,450,2,2,4,4,3,20,73,2
37,JOSIAH NATZKE,450,3,1,5,2,1,25,98,2
38,JOSIAH NATZKE,450,3,2,6,1,1,25,123,2
39,JOSIAH NATZKE,450,4,1,7,2,1,25,148,1
40,JOSIAH NATZKE,450,4,2,8,1,3,20,168,2
41,JOSIAH NATZKE,450,5,1,9,1,1,25,193,2
