name,class,year,location
JESS PETTIS,450,2024,Quebec
JOSIAH NATZKE,450,2024,New Zealand
PRESTON KILROY,450,2024,Wyoming
AARON TANTI,450,2024,Quebec
TANNER WARD,450,2024,Ontario
PARKER EALES,450,2024,British Columbia
DYLAN WRIGHT,450,2024,Quebec
JULIEN BENEK,450,2024,British Columbia
DANIEL ELMORE,450,2024,British Columbia
MITCHELL HARRISON,450,2024,Florida
GAVIN BROUGH,450,2024,Nevada
TRISTAN LANE,450,2024,Florida
ADRIEN MALAVAL,450,2024,France
KEYLAN MESTON,450,2024,Alberta
MATTI JORGENSEN,450,2024,Denmark
JERRY LORENZ,450,2024,Michigan
TYLER GIBBS,450,2024,British Columbia
PAYTON MORNINGSTAR,450,2024,Ontario
CRAYDEN DILLON,450,2024,Ontario
TOMMY DALLAIRE,450,2024,Quebec
EVAN SMITH,450,2024,Georgia
BENJAMIN NELKO,450,2024,Pennsylvania
TEREN GERBER,450,2024,Alberta
BRENDAN SIPPLE,450,2024,Texas
NICHOLAS INMAN,450,2024,Illinois
TANNER MERRICK,450,2024,Ontario
ETHAN STEVENSON,450,2024,Ontario
JAMES HARRINGTON,450,2024,Massachusetts
RILEY BROUGH,450,2024,Nevada
MICHAEL DA SILVA,450,2024,Quebec
RYAN DERRY,450,2024,Ontario
JOSH MOSIMAN,450,2024,California
CHANCE BLACKBURN,450,2024,Washington
JUSTIN COKINOS,450,2024,Massachusetts
JOSH CLARK,450,2024,Connecticut
TREVOR SCHMIDT,450,2024,New York
HAYDEN CORDELL,450,2024,Washington
MCCOY BROUGH,450,2024,Utah
NICK COLLINS,450,2024,Alberta
ZACHARY ROUSSEAU,450,2024,Quebec
GUILLAUME ST-CYR,450,2024,Quebec
BROCK HENRY,450,2024,British Columbia
BRYANT HUMISTON,450,2024,Wyoming
TYLER LOWE,450,2024,Wisconsin
TODD MINNIE,450,2024,British Columbia
JOE TAIT,450,2024,Connecticut
SETH HUGHES,450,2024,Ontario
KEVIN SULLIVAN,450,2024,Ontario
RYAN PETERS,450,2024,North Dakota
MAX FILIPEK,450,2024,Ontario
ALEXANDRE MORIN,450,2024,Quebec
NATE MASON,450,2024,Georgia
ANTHONY SPADACCINI,450,2024,Ontario
CHARLIE JOHNSTON,450,2024,Alberta
XAVIER BERGERON,450,2024,Quebec
YANICK BOUCHER,450,2024,Ontario
BLAZE CREMALDI,450,2024,New York
TREY GRIFFIN,450,2024,Saskatchewan
CALE KUCHNICKI,450,2024,Michigan
ETHAN OUELLETTE,450,2024,British Columbia
PJ STRATTON,450,2024,Alberta
CHASE REID,450,2024,Washington
NOLAN CONNOLLY,450,2024,Washington
KALE CUTHBERTSON,450,2024,Alberta
COLE DEKONINCK,450,2024,Manitoba
NOAH KETEL,450,2024,British Columbia
JOSHUA PENNER,450,2024,Manitoba
LUKE VANLYSSEL,450,2024,Wisconsin
BRANDON GREEN,450,2024,Michigan
CONRAD SCHIPPER,450,2024,Iowa
PHILIP MAUS,450,2024,Michigan
NATHEN LAPORTE,450,2024,Wisconsin
CALEB HALL,450,2024,New York
TRAVIS DELNICKI,450,2024,Connecticut
CHANDLER FRITZIUS,450,2024,Quebec
BRETT YOUNG,450,2024,Nova Scotia
DAVID STRANG,450,2024,New Brunswick
JUSTIN SPARKS,450,2024,Pennsylvania
ASHTON VICKERS,450,2024,Nova Scotia
TREVOR DOIRON,450,2024,New Brunswick
TYLER SCHEWCHYK,450,2024,Ontario
BLAKE DAVIES,450,2024,British Columbia
LUKE PENNEY,450,2024,Nova Scotia
KAVEN BENOIT,250,2024,Quebec
DREW ADAMS,250,2024,Tennessee
GAGE LINVILLE,250,2024,Georgia
SEBASTIEN RACINE,250,2024,Ontario
WYATT KERR,250,2024,Ontario
QUINN AMYOTTE,250,2024,Ontario
TYLER MEDAGLIA,250,2024,Ontario
TIGER WOOD,250,2024,Australia
DYLAN REMPEL,250,2024,Ontario
EVAN STICE,250,2024,Idaho
TANNER SCOTT,250,2024,Ontario
AUSTIN JONES,250,2024,Ontario
TYLER YATES,250,2024,British Columbia
KRYSTIAN JANIK,250,2024,Illinois
JOSH CLARK,250,2024,Connecticut
BLAKE DAVIES,250,2024,British Columbia
CLAYTON SCHMUCKI,250,2024,Alberta
LUKE FAUSER,250,2024,Pennsylvania
KYLE MURDOCH,250,2024,Massachusetts
ZACH UFIMZEFF,250,2024,Alberta
NOAH PORTER,250,2024,British Columbia
NATHAN GERMAIN,250,2024,Quebec
DEVYN SMITH,250,2024,British Columbia
ALEXANDER FEDORTSOV,250,2024,Florida
DYLAN WALSH,250,2024,United Kingdom
LIAM DODDS,250,2024,British Columbia
HAYDEN JAMESON,250,2024,Ontario
CHRISTOPHER BLACKMER,250,2024,Michigan
PRESTON MASCIANGELO,250,2024,Ontario
AARON ZIELFELDER,250,2024,New Mexico
ALEX GATT,250,2024,British Columbia
NOAH VINEY,250,2024,Ontario
BRADEN SPANGLE,250,2024,Washington
BRYCE WADGE,250,2024,Manitoba
DEVIN SALO,250,2024,South Carolina
IZACK GUADAGNO,250,2024,Quebec
WYATT HASIL,250,2024,Alberta
COLE PRANGER,250,2024,Ontario
